0,1,0,0, ,zhulou,主楼,11568841.954900000000000,3600154.642599999900000
1,2,0,0, ,tiyuguan,体育馆,11569103.892999999000000,3599800.462600000200000
2,3,0,0, ,youyongguan,游泳馆,11569259.468300000000000,3599873.851300000200000
3,4,0,0, ,tiyuchang,体育场,11569422.981100000000000,3599846.729400000100000
4,5,0,0, ,keyanshiyanlou3,科研实验楼3,11568594.304400001000000,3600819.926500000100000
5,6,0,0, ,yanjiuyuandalou,研究院大楼,11568646.692000000000000,3600894.910500000200000
6,7,0,0, ,dahu,大湖,11568807.029899999000000,3600732.179300000000000
7,8,0,0, ,tushuguan,图书馆,11569008.642800000000000,3600689.103300000100000
8,9,0,0, ,xueshubaogaoting,学术报告厅,11568921.330100000000000,3600684.317100000100000
9,10,0,0, ,tushuguanbangonglou,图书馆办公楼,11569057.855400000000000,3600748.133299999900000
10,11,0,0, ,tushuguanguangchang,图书馆广场,11569161.043099999000000,3600594.974500000000000
11,12,0,0, ,keyanshiyanlou2,科研实验楼2,11569243.593200000000000,3600741.751699999900000
12,13,0,0, ,keyanshiyanlou1,科研实验楼1,11569267.405800000000000,3600848.643800000200000
13,14,0,0, ,jiaoxuelouB,教学楼B,11569510.293800000000000,3600638.050400000100000
14,15,0,0, ,jiaoxuelouA,教学楼A,11569534.106300000000000,3600767.278200000100000
15,16,0,0, ,jiaoxuelouC,教学楼C,11569638.881500000000000,3600665.172300000200000
16,17,0,0, ,xiaohu,小湖,11569967.494700000000000,3600116.352899999800000
17,18,0,0, ,laotiyuchang2,老体育场2,11569827.794399999000000,3600368.427000000100000
18,19,0,0, ,laotiyuchang,老体育场,11569864.307000000000000,3600521.585800000000000
19,20,0,0, ,zonghexunlianguan,综合训练馆,11569897.644500000000000,3600719.416000000200000
20,21,0,0, ,zonghedalou,综合大楼,11568883.230000000000000,3601362.364000000100000
21,22,0,0, ,xiaoyiyuan,校医院,11568968.955200000000000,3601478.828499999800000
22,23,0,0, ,shangyejie,商业街,11569164.218100000000000,3601489.996300000200000
23,24,0,0, ,xueshenghuodongzhongxin,学生活动中心,11569115.005500000000000,3601314.501900000000000
24,25,0,0, ,shuofeng8,硕丰8,11569251.001599999000000,3601284.720999999900000
25,26,0,0, ,qingzhencanting,清真餐厅,11569256.822400000000000,3601208.673400000200000
26,27,0,0, ,ershitang,二食堂,11569339.901799999000000,3601173.042700000100000
27,28,0,0, ,shuofeng7,硕丰7,11569357.893500000000000,3601225.159200000100000
28,29,0,0, ,shuofeng6,硕丰6,11569380.383099999000000,3601293.229799999900000
29,30,0,0, ,shuofeng4,硕丰4,11569364.243500000000000,3601383.104199999900000
30,31,0,0, ,xuezhi21,学知21,11569481.189500000000000,3601394.272100000200000
31,32,0,0, ,xuezhi22,学知22,11569484.364499999000000,3601256.535500000200000
32,33,0,0, ,shuofeng1,硕丰1,11569311.459000001000000,3601465.134600000000000
33,34,0,0, ,shuofeng3,硕丰3,11569376.943499999000000,3601455.961000000100000
34,35,0,0, ,xuezhi20,学知20,11569562.865100000000000,3601317.104700000000000
35,36,0,0, ,xuezhi1,学知1,11569608.189800000000000,3601232.072600000100000
36,37,0,0, ,xuezhi3,学知3,11569516.643800000000000,3601154.429599999900000
37,38,0,0, ,xuezhi2,学知2,11569614.010600001000000,3601143.793600000000000
38,39,0,0, ,xuezhi4,学知4,11569519.289600000000000,3601104.440299999900000
39,40,0,0, ,xuezhi5,学知5,11569625.916900000000000,3601071.202699999800000
40,41,0,0, ,xuezhi6,学知6,11569608.719000001000000,3601017.756699999800000
41,42,0,0, ,xuezhi7,学知7,11569536.752200000000000,3601052.323799999900000
42,43,0,0, ,xuezhi15,学知15,11569725.135900000000000,3601051.791999999900000
43,44,0,0, ,yishitang,一食堂,11569732.253200000000000,3600952.823700000100000
44,45,0,0, ,xuezhi14,学知14,11569778.581800001000000,3600988.507600000100000
45,46,0,0, ,xuezhi13,学知13,11569796.573500000000000,3601026.797300000200000
46,47,0,0, ,xuezhi12,学知12,11569800.542300001000000,3601068.277799999800000
47,48,0,0, ,xuezhi11,学知11,11569777.523499999000000,3601144.325400000000000
48,49,0,0, ,xuezhi10,学知10,11569714.023300000000000,3601161.874900000200000
49,50,0,0, ,xuezhi8,学知8,11569774.562100001000000,3601169.319699999900000
50,51,0,0, ,xuezhi9,学知9,11569800.277700000000000,3601208.673400000200000
51,52,0,0, ,liuxueshengsushe1,留学生宿舍1,11569750.006700000000000,3601210.268800000200000
